17:47:05.293910 [queue=0] packet #2, 127.0.0.1:35187 -> 127.0.0.1:8007, sz=39 is delivered
17:47:05.294913 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:35187, sz=39 is delivered
17:47:05.296279 [queue=0] packet #2, 127.0.0.1:35187 -> 127.0.0.1:8007, sz=39 is delivered
17:47:05.297562 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:35187, sz=39 is delivered
17:47:31.602632 [queue=0] packet #1, 127.0.0.1:56226 -> 127.0.0.1:8007, sz=18 is delivered
17:47:31.603738 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:56226, sz=18 is delivered
17:47:31.612592 [queue=0] packet #4294967295, 127.0.0.1:56226 -> 127.0.0.1:8007, sz=39 is delivered
17:47:31.613481 [queue=0] packet #4294967295, 127.0.0.1:8007 -> 127.0.0.1:56226, sz=39 is delivered
17:47:31.614680 [queue=0] packet #4294967295, 127.0.0.1:56226 -> 127.0.0.1:8007, sz=39 is delivered
17:47:31.615485 [queue=0] packet #4294967295, 127.0.0.1:8007 -> 127.0.0.1:56226, sz=39 is delivered
10:46:50.495893 config: drop-rate=0.00, max-delay=0s, seed=1585579610495794102
10:46:50.496456 router is listening at :3000
10:48:16.478708 [queue=0] packet #1, 127.0.0.1:49875 -> 127.0.0.1:8007, sz=18 is delivered
10:50:16.522819 config: drop-rate=0.00, max-delay=0s, seed=1585579816522732149
10:50:16.523120 router is listening at :3000
10:51:10.515406 [queue=0] packet #1, 127.0.0.1:51361 -> 127.0.0.1:8007, sz=18 is delivered
10:52:11.785062 [queue=0] packet #1, 127.0.0.1:43335 -> 127.0.0.1:8007, sz=18 is delivered
10:55:54.019359 [queue=0] packet #1, 127.0.0.1:37479 -> 127.0.0.1:8007, sz=18 is delivered
11:01:41.280256 [queue=0] packet #1, 127.0.0.1:48028 -> 127.0.0.1:8007, sz=18 is delivered
11:01:41.283806 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:48028, sz=6 is delivered
11:01:41.292650 [queue=0] packet #2, 127.0.0.1:48028 -> 127.0.0.1:8007, sz=18 is delivered
11:01:41.294405 [queue=0] packet #2, 127.0.0.1:48028 -> 127.0.0.1:8007, sz=39 is delivered
11:06:53.186214 [queue=0] packet #1, 127.0.0.1:38960 -> 127.0.0.1:8007, sz=18 is delivered
11:06:53.189669 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:38960, sz=6 is delivered
11:06:53.200100 [queue=0] packet #2, 127.0.0.1:38960 -> 127.0.0.1:8007, sz=18 is delivered
